,s.no.,name,"cmp
rs.",p/e,"marcap
rs.cr.","divyld
%","npqtr
rs.cr.","qtrprofitvar
%","salesqtr
rs.cr.","qtrsalesvar
%","roce
%",tmp1,tmp2,tmp3,tmp4,tmp5,tmp6,tmp7,tmp8,tmp9,tmp10,L_Prc,H_Prc,B_Prc,H_Prc_date,B_Prc_date,Prof_marg_days,Prof%,C_Prof%
94,1310,GTL,18.6,36.58,292.54,0,356.42,-84.41,48.69,-7.17,,,18.1,,,23.6,18.6,22.6,,,,18.1,23.6,18.1,2022-02-04,2022-02-04,0 days,30.387,2.762
95,1042,Seacoast Ship.,18.65,44.91,627.83,0.27,5.91,473.79,71.95,176.09,45.65,,18.15,,,23.65,18.65,22.65,,,,18.15,23.65,18.15,2022-02-04,2022-02-04,0 days,30.303,2.755
96,1537,Asi Industries,18.85,41.21,169.8,0,-2.97,-231.42,49.1,-3.61,4.17,,18.35,,,23.85,18.85,22.85,,,,18.35,23.85,18.35,2022-02-04,2022-02-04,0 days,29.973,2.725
97,834,PTC India Fin,19.25,18.94,1236.41,0,52.47,64.74,242.09,-18.02,7.45,,18.75,,,24.25,19.25,23.25,,,,18.75,24.25,18.75,2022-02-04,2022-02-04,0 days,29.333,2.667
98,1618,Prajay Engineers,19.5,649.44,136.38,0,1.03,134.11,16.47,186.93,0.24,,19,,,24.5,19.5,23.5,,,,19,24.5,19,2022-02-04,2022-02-04,0 days,28.947,2.632
99,895,Urja Global,19.95,513.65,1011.86,0,0.31,-39.22,24.95,-35.58,1.72,,19.45,,,24.95,19.95,23.95,,,,19.45,24.95,19.45,2022-02-04,2022-02-04,0 days,28.278,2.571
100,1506,Basant Agro Tech,20.1,12.14,182.15,0.29,3.9,375.61,79.38,42.36,7.51,,19.6,,,25.1,20.1,24.1,,,,19.6,25.1,19.6,2022-02-04,2022-02-04,0 days,28.061,2.551
101,2049,ISL Consulting,20.75,66.4,49.8,0,2.16,500,9.06,203.01,11.84,,20.25,,,25.75,20.75,24.75,,,,20.25,25.75,20.25,2022-02-04,2022-02-04,0 days,27.16,2.469
102,1151,Shyam Century,21,9.29,466.56,0,15.13,750,55.95,57.03,16.1,,20.5,,,26,21,25,,,,20.5,26,20.5,2022-02-04,2022-02-04,0 days,26.829,2.439
103,259,Bank of Maha,21.1,14.67,14201.35,0,309.57,98.77,3282.13,9.15,4.25,,20.6,,,26.1,21.1,25.1,,,,20.6,26.1,20.6,2022-02-04,2022-02-04,0 days,26.699,2.427
104,2018,Titan Securities,21.15,5.71,52.94,0,2.64,21.1,2.09,186.3,0.8,,20.65,,,26.15,21.15,25.15,,,,20.65,26.15,20.65,2022-02-04,2022-02-04,0 days,26.634,2.421
105,116,I O B,21.65,27.17,40923.73,0,454.11,113.33,4197.69,-1.08,4.71,,21.15,,,26.65,21.65,25.65,,,,21.15,26.65,21.15,2022-02-04,2022-02-04,0 days,26.005,2.364
106,1795,Kallam Textiles,21.75,7.92,93.12,0,1.52,176.38,112.29,154.57,2.19,,21.25,,,26.75,21.75,25.75,,,,21.25,26.75,21.25,2022-02-04,2022-02-04,0 days,25.882,2.353
107,1705,Baba Arts,21.8,37.4,114.48,0,0.8,407.69,8.91,44450,17.91,,21.3,,,26.8,21.8,25.8,,,,21.3,26.8,21.3,2022-02-04,2022-02-04,0 days,25.822,2.347
108,1191,Vishwaraj Sugar,22,16.71,413.11,0.91,29.44,-3.35,133.28,61.06,8.21,,21.5,,,27,22,26,,,,21.5,27,21.5,2022-02-04,2022-02-04,0 days,25.581,2.326
109,1664,Lee & Nee Soft.,22.2,225.1,123.81,0,0.15,25,1.34,2.29,0.78,,21.7,,,27.2,22.2,26.2,,,,21.7,27.2,21.7,2022-02-04,2022-02-04,0 days,25.346,2.304
110,1641,Digicontent,22.45,99.72,130.63,0,11.14,7326.67,86.69,16.49,-19.37,,21.95,,,27.45,22.45,26.45,,,,21.95,27.45,21.95,2022-02-04,2022-02-04,0 days,25.057,2.278
111,1393,Ganga Forging,22.8,1858.47,241.61,0,0.89,456.25,7.74,8.25,4.37,,22.3,,,27.8,22.8,26.8,,,,22.3,27.8,22.3,2022-02-04,2022-02-04,0 days,24.664,2.242
112,506,Hathway Cable,22.9,20.85,4053.52,0,33.93,-31.26,455.03,2.89,5.33,,22.4,,,27.9,22.9,26.9,,,,22.4,27.9,22.4,2022-02-04,2022-02-04,0 days,24.554,2.232
113,150,I R F C,23.25,5.49,30384.27,4.52,1501.48,50.9,4690.02,26.28,5.02,,22.75,,,28.25,23.25,27.25,,,,22.75,28.25,22.75,2022-02-04,2022-02-04,0 days,24.176,2.198
114,1693,North Eastn.Car.,23.55,20.95,118.21,0,1.14,31.03,54.8,-7.68,4.94,,23.05,,,28.55,23.55,27.55,,,,23.05,28.55,23.05,2022-02-04,2022-02-04,0 days,23.861,2.169
115,1358,Mercantile Vent.,23.65,29.25,264.69,0,3.93,-12.67,9.12,-1.41,3.59,,23.15,,,28.65,23.65,27.65,,,,23.15,28.65,23.15,2022-02-04,2022-02-04,0 days,23.758,2.16
116,1687,Captain Polyplas,23.75,22.19,119.66,0.18,0.34,-79.88,44.02,19.78,16.31,,23.25,,,28.75,23.75,27.75,,,,23.25,28.75,23.25,2022-02-04,2022-02-04,0 days,23.656,2.151
117,1299,Airan,23.8,37.46,297.54,0,2.22,-3.06,18.97,0.53,7.81,,23.3,,,28.8,23.8,27.8,,,,23.3,28.8,23.3,2022-02-04,2022-02-04,0 days,23.605,2.146
118,1610,Bhilwara Tech,23.95,5.85,139.82,0,7.03,100.86,3.42,92.13,5.48,,23.45,,,28.95,23.95,27.95,,,,23.45,28.95,23.45,2022-02-04,2022-02-04,0 days,23.454,2.132
119,1911,Emerald Leasing,24,32.72,69.7,0.41,0.65,103.12,1.98,108.42,13.24,,23.5,,,29,24,28,,,,23.5,29,23.5,2022-02-04,2022-02-04,0 days,23.404,2.128
120,1611,Himalaya Food,24.15,20.11,139.76,0,1.48,604.76,16.35,26.94,0.6,,23.65,,,29.15,24.15,28.15,,,,23.65,29.15,23.65,2022-02-04,2022-02-04,0 days,23.256,2.114
