,s.no.,name,"cmp
rs.",p/e,"marcap
rs.cr.","divyld
%","npqtr
rs.cr.","qtrprofitvar
%","salesqtr
rs.cr.","qtrsalesvar
%","roce
%",tmp1,tmp2,tmp3,tmp4,tmp5,tmp6,tmp7,tmp8,tmp9,tmp10,L_Prc,H_Prc,B_Prc,H_Prc_date,B_Prc_date,Prof_marg_days,Prof%,C_Prof%
121,2043,PCS Technology,24.3,175.56,50.89,0,0.29,185.71,0.07,16.67,2.71,,23.8,,,29.3,24.3,28.3,,,,23.8,29.3,23.8,2022-02-04,2022-02-04,0 days,23.109,2.101
122,1855,Scandent Imaging,24.6,17.05,78.98,0,1.27,3.25,9.98,-14.33,46.6,,24.1,,,29.6,24.6,28.6,,,,24.1,29.6,24.1,2022-02-04,2022-02-04,0 days,22.822,2.075
123,1091,Surat Textile,24.65,59.42,547.38,0,-3.75,-600,1.35,-94.17,13.37,,24.15,,,29.65,24.65,28.65,,,,24.15,29.65,24.15,2022-02-04,2022-02-04,0 days,22.774,2.07
124,1649,Amrapali Inds.,24.7,46.89,126.98,0,0.24,700,11109.92,373.53,17.38,,24.2,,,29.7,24.7,28.7,,,,24.2,29.7,24.2,2022-02-04,2022-02-04,0 days,22.727,2.066
125,1975,Saboo Sodium,24.7,6.6,59.73,0,2.02,712.12,10.88,94.63,5.89,,24.2,,,29.7,24.7,28.7,,,,24.2,29.7,24.2,2022-02-04,2022-02-04,0 days,22.727,2.066
126,1721,Indbank Merchant,24.8,17.32,110.06,0,2.99,86.88,5.46,110,10.27,,24.3,,,29.8,24.8,28.8,,,,24.3,29.8,24.3,2022-02-04,2022-02-04,0 days,22.634,2.058
127,1424,Indowind Energy,25,87.3,224.35,0,0.51,189.95,8.87,-2.85,0.79,,24.5,,,30,25,29,,,,24.5,30,24.5,2022-02-04,2022-02-04,0 days,22.449,2.041
128,1634,BLB,25.15,23.28,132.98,0,2.92,472.55,99.42,-56.11,6.13,,24.65,,,30.15,25.15,29.15,,,,24.65,30.15,24.65,2022-02-04,2022-02-04,0 days,22.312,2.028
129,1473,Compucom Soft.,25.35,25.91,200.58,1.19,2.91,1611.76,6.8,66.26,2.4,,24.85,,,30.35,25.35,29.35,,,,24.85,30.35,24.85,2022-02-04,2022-02-04,0 days,22.133,2.012
130,1815,Indrayani Biotec,25.85,66.04,88.5,0,1.1,816.67,14.31,203.82,-19.44,,25.35,,,30.85,25.85,29.85,,,,25.35,30.85,25.35,2022-02-04,2022-02-04,0 days,21.696,1.972
131,827,Andrew Yule & Co,26,90.1,1271.27,0,18.43,-58.32,124.2,-5.23,5.28,,25.5,,,31,26,30,,,,25.5,31,25.5,2022-02-04,2022-02-04,0 days,21.569,1.961
132,1496,Trescon,26.2,9495.64,189.91,0,0.42,-50,0.5,,3.95,,25.7,,,31.2,26.2,30.2,,,,25.7,31.2,25.7,2022-02-04,2022-02-04,0 days,21.401,1.946
133,2005,SwarnsaritaJewel,26.2,6.9,54.74,0,1.7,-16.26,263.55,117.65,7.01,,25.7,,,31.2,26.2,30.2,,,,25.7,31.2,25.7,2022-02-04,2022-02-04,0 days,21.401,1.946
134,1366,Swiss Military,26.2,166.16,257.54,0,1.02,1285.71,17.76,7004,0.49,,25.7,,,31.2,26.2,30.2,,,,25.7,31.2,25.7,2022-02-04,2022-02-04,0 days,21.401,1.946
135,1439,VIP Clothing,26.25,87.08,216.82,0,2.16,796.77,59.86,41.95,0.42,,25.75,,,31.25,26.25,30.25,,,,25.75,31.25,25.75,2022-02-04,2022-02-04,0 days,21.359,1.942
136,1694,Galaxy Cloud,26.3,95.32,118.19,0,0.31,108.14,10.32,76.71,,,25.8,,,31.3,26.3,30.3,,,,25.8,31.3,25.8,2022-02-04,2022-02-04,0 days,21.318,1.938
137,1704,Sharika Enterpr.,26.5,67.9,114.75,0,-0.66,75.65,5.71,177.18,10.07,,26,,,31.5,26.5,30.5,,,,26,31.5,26,2022-02-04,2022-02-04,0 days,21.154,1.923
138,1530,Sakthi Finance,26.55,17.94,171.79,2.25,2.59,1.17,46.34,11.82,9.67,,26.05,,,31.55,26.55,30.55,,,,26.05,31.55,26.05,2022-02-04,2022-02-04,0 days,21.113,1.919
139,833,PC Jeweller,26.65,23.51,1240.3,0,-75.83,-56.58,558.95,46.33,6.1,,26.15,,,31.65,26.65,30.65,,,,26.15,31.65,26.15,2022-02-04,2022-02-04,0 days,21.033,1.912
140,2009,Sri KPR Inds.,26.95,11.94,54.31,3.71,0.94,-88.19,3.57,7.85,8.36,,26.45,,,31.95,26.95,30.95,,,,26.45,31.95,26.45,2022-02-04,2022-02-04,0 days,20.794,1.89
141,1972,Barak Valley,27.15,13.08,60.16,0,1.6,31.15,39.74,25.76,6.5,,26.65,,,32.15,27.15,31.15,,,,26.65,32.15,26.65,2022-02-04,2022-02-04,0 days,20.638,1.876
142,1845,Vaswani Industri,27.2,15.31,81.6,0,0.35,-38.6,79.87,16.01,9.87,,26.7,,,32.2,27.2,31.2,,,,26.7,32.2,26.7,2022-02-04,2022-02-04,0 days,20.599,1.873
143,1513,Manaksia Alumi.,27.4,21.61,179.59,0,2.51,13.06,130.35,96.4,4.33,,26.9,,,32.4,27.4,31.4,,,,26.9,32.4,26.9,2022-02-04,2022-02-04,0 days,20.446,1.859
144,1921,Cian Healthcare,27.5,982,68.74,0,,,,,6.79,,27,,,32.5,27.5,31.5,,,,27,32.5,27,2022-02-04,2022-02-04,0 days,20.37,1.852
145,1515,JHS Sven.Lab.,27.7,148.68,178.42,0,0.27,-72.45,24.64,-22.2,1.08,,27.2,,,32.7,27.7,31.7,,,,27.2,32.7,27.2,2022-02-04,2022-02-04,0 days,20.221,1.838
146,1644,Incredible Indus,27.8,46.91,129.99,0,0.44,-73.17,112.14,10.2,6.62,,27.3,,,32.8,27.8,31.8,,,,27.3,32.8,27.3,2022-02-04,2022-02-04,0 days,20.147,1.832
147,1274,KCP Sugar &Inds.,27.95,8.88,316.87,0.36,8.56,283.3,78.97,1.49,7.16,,27.45,,,32.95,27.95,31.95,,,,27.45,32.95,27.45,2022-02-04,2022-02-04,0 days,20.036,1.821
148,1717,Sicagen India,28,52.75,110.8,2.15,-8.95,-1244.44,158.28,25.31,1.53,,27.5,,,33,28,32,,,,27.5,33,27.5,2022-02-04,2022-02-04,0 days,20,1.818
149,1174,Rana Sugars,28.3,2.76,434.61,0,11.9,405.91,276.91,94.38,20.45,,27.8,,,33.3,28.3,32.3,,,,27.8,33.3,27.8,2022-02-04,2022-02-04,0 days,19.784,1.799
150,1551,Accel,28.45,31.21,163.09,0,0.66,133.67,27.81,47.61,-1.76,,27.95,,,33.45,28.45,32.45,,,,27.95,33.45,27.95,2022-02-04,2022-02-04,0 days,19.678,1.789
151,1753,WEP Solutions,28.5,42.48,103.2,0,0.91,285.71,23.28,70.93,0.69,,28,,,33.5,28.5,32.5,,,,28,33.5,28,2022-02-04,2022-02-04,0 days,19.643,1.786
152,2041,Ecoboard Inds.,28.6,124.36,50.99,0,1.18,182.17,13.17,349.49,-0.56,,28.1,,,33.6,28.6,32.6,,,,28.1,33.6,28.1,2022-02-04,2022-02-04,0 days,19.573,1.779
153,984,Oswal Green Tech,28.65,17.75,735.77,0,15.52,-6.95,4.5,2.27,3.36,,28.15,,,33.65,28.65,32.65,,,,28.15,33.65,28.15,2022-02-04,2022-02-04,0 days,19.538,1.776
154,1562,Moksh Ornaments,29.5,37.34,158.3,0.34,2.08,-15.1,77.53,-6.29,11.11,,29,,,34.5,29.5,33.5,,,,29,34.5,29,2022-02-04,2022-02-04,0 days,18.966,1.724
155,580,Jayaswal Neco,29.7,10.56,2883.87,0,112.84,157.8,1596.84,76.29,12.56,,29.2,,,34.7,29.7,33.7,,,,29.2,34.7,29.2,2022-02-04,2022-02-04,0 days,18.836,1.712
156,1786,Comfort Intech,29.8,9.06,95.34,0,1.47,-53.18,41.29,169.34,5.75,,29.3,,,34.8,29.8,33.8,,,,29.3,34.8,29.3,2022-02-04,2022-02-04,0 days,18.771,1.706
157,1648,A Infrastructure,29.95,19.78,127.72,0.36,-0.51,-828.57,55.71,-9.46,12.23,,29.45,,,34.95,29.95,33.95,,,,29.45,34.95,29.45,2022-02-04,2022-02-04,0 days,18.676,1.698
158,790,Patel Engineerin,30,37.2,1437.7,0,6.84,109.55,724.45,64.23,5.95,,29.5,,,35,30,34,,,,29.5,35,29.5,2022-02-04,2022-02-04,0 days,18.644,1.695
159,153,NHPC Ltd,30,8.48,30135.15,5.33,1335.44,12.41,2940.63,1.42,9.21,,29.5,,,35,30,34,,,,29.5,35,29.5,2022-02-04,2022-02-04,0 days,18.644,1.695
160,2019,Libas Consumer,30,14.71,52.9,0.28,0.9,-39.6,10.64,12.59,10.48,,29.5,,,35,30,34,,,,29.5,35,29.5,2022-02-04,2022-02-04,0 days,18.644,1.695
161,1872,Angel Fibers,30.1,11.08,75.26,0,0,,0,,11.63,,29.6,,,35.1,30.1,34.1,,,,29.6,35.1,29.6,2022-02-04,2022-02-04,0 days,18.581,1.689
162,1737,HKG,30.2,148.87,105.7,0,,,,,36.02,,29.7,,,35.2,30.2,34.2,,,,29.7,35.2,29.7,2022-02-04,2022-02-04,0 days,18.519,1.684
163,1003,MIRC Electronics,30.25,201.32,698.64,0,5.62,4583.33,392.51,178.28,2.93,,29.75,,,35.25,30.25,34.25,,,,29.75,35.25,29.75,2022-02-04,2022-02-04,0 days,18.487,1.681
164,1219,Orient Abrasives,30.4,34.47,363.69,0.5,1.44,-37.93,72.16,7.05,7.81,,29.9,,,35.4,30.4,34.4,,,,29.9,35.4,29.9,2022-02-04,2022-02-04,0 days,18.395,1.672
165,1319,Piccadily Agro,30.4,11.4,286.79,1.66,8.72,52.71,91.33,-14.61,13.75,,29.9,,,35.4,30.4,34.4,,,,29.9,35.4,29.9,2022-02-04,2022-02-04,0 days,18.395,1.672
166,1995,Mohini Health,30.75,9.55,56.07,0,,,,,10.32,,30.25,,,35.75,30.75,34.75,,,,30.25,35.75,30.25,2022-02-04,2022-02-04,0 days,18.182,1.653
167,1593,Energy Devl.Co.,31,25.93,147.26,0,8.83,322.49,17.77,43.77,3.38,,30.5,,,36,31,35,,,,30.5,36,30.5,2022-02-04,2022-02-04,0 days,18.033,1.639
168,1552,Murudesh.Ceramic,31,21.75,162.25,0,1.57,119.33,30.73,108.76,0,,30.5,,,36,31,35,,,,30.5,36,30.5,2022-02-04,2022-02-04,0 days,18.033,1.639
169,1901,Khemani Distrib.,31.05,6.27,71.33,0,-0.9,,14.95,,40.84,,30.55,,,36.05,31.05,35.05,,,,30.55,36.05,30.55,2022-02-04,2022-02-04,0 days,18.003,1.637
170,2017,Marvel Decor,31.1,1159.16,52.99,0,,,,,2.84,,30.6,,,36.1,31.1,35.1,,,,30.6,36.1,30.6,2022-02-04,2022-02-04,0 days,17.974,1.634
171,762,Mishtann Foods,31.4,85.36,1570,0.01,8.05,3120,147.69,24.99,4.64,,30.9,,,36.4,31.4,35.4,,,,30.9,36.4,30.9,2022-02-04,2022-02-04,0 days,17.799,1.618
172,1819,Shri Krishna,31.45,42.54,88.06,0,0.82,-60.95,4.34,-45.89,6.62,,30.95,,,36.45,31.45,35.45,,,,30.95,36.45,30.95,2022-02-04,2022-02-04,0 days,17.771,1.616
173,283,SJVN,31.5,7.1,12378.86,6.98,406.07,-22.31,883.78,3.34,15.05,,31,,,36.5,31.5,35.5,,,,31,36.5,31,2022-02-04,2022-02-04,0 days,17.742,1.613
174,1908,Polylink Poly.,31.65,82.33,69.98,0,0.04,-83.33,10.71,18.74,6.45,,31.15,,,36.65,31.65,35.65,,,,31.15,36.65,31.15,2022-02-04,2022-02-04,0 days,17.657,1.605
175,1304,KM Sugar Mills,32.1,7.85,295.32,0.6,13.23,99.55,201.9,43.57,11.67,,31.6,,,37.1,32.1,36.1,,,,31.6,37.1,31.6,2022-02-04,2022-02-04,0 days,17.405,1.582
176,1113,Madras Fertilize,32.25,11.33,519.53,0,-11.43,-358.01,382.17,-8.33,12.64,,31.75,,,37.25,32.25,36.25,,,,31.75,37.25,31.75,2022-02-04,2022-02-04,0 days,17.323,1.575
177,1548,A R C Finance,32.55,173.01,164.36,0,0.23,152.27,4.79,1816,0.51,,32.05,,,37.55,32.55,36.55,,,,32.05,37.55,32.05,2022-02-04,2022-02-04,0 days,17.161,1.56
178,1556,Surana Solar,32.6,286.45,160.42,0,0.31,287.5,2.62,-28.42,2.01,,32.1,,,37.6,32.6,36.6,,,,32.1,37.6,32.1,2022-02-04,2022-02-04,0 days,17.134,1.558
179,997,Vascon Engineers,32.6,167.11,708.49,0,3.42,131.7,152.87,27.92,-1.69,,32.1,,,37.6,32.6,36.6,,,,32.1,37.6,32.1,2022-02-04,2022-02-04,0 days,17.134,1.558
180,1787,Brahmaputra Inf.,32.65,14.99,94.74,0,0.74,108.1,31.45,42.95,4.52,,32.15,,,37.65,32.65,36.65,,,,32.15,37.65,32.15,2022-02-04,2022-02-04,0 days,17.107,1.555
181,1639,Niraj Cement,32.7,67.69,131.3,0,0.44,27.38,63.52,-23.74,1.61,,32.2,,,37.7,32.7,36.7,,,,32.2,37.7,32.2,2022-02-04,2022-02-04,0 days,17.081,1.553
182,1617,AMJ Land Holdin.,33.3,79.38,136.54,0.6,0.72,-74.38,1.39,-62.53,4.54,,32.8,,,38.3,33.3,37.3,,,,32.8,38.3,32.8,2022-02-04,2022-02-04,0 days,16.768,1.524
183,1212,Ugar Sugar Works,33.5,18.35,376.89,0.57,-5.81,58.11,252.73,32.08,9.67,,33,,,38.5,33.5,37.5,,,,33,38.5,33,2022-02-04,2022-02-04,0 days,16.667,1.515
184,1775,Lahoti Overseas,33.6,7.68,98.02,1.19,5.89,210,244.38,121.3,7.69,,33.1,,,38.6,33.6,37.6,,,,33.1,38.6,33.1,2022-02-04,2022-02-04,0 days,16.616,1.511
185,1692,DB Intl.Stock,33.8,20.57,118.3,0,2,179.37,6.92,51.75,12.2,,33.3,,,38.8,33.8,37.8,,,,33.3,38.8,33.3,2022-02-04,2022-02-04,0 days,16.517,1.502
186,1164,PTL Enterprises,33.85,11.56,448.09,7.37,8.83,0.23,15.81,0,11.58,,33.35,,,38.85,33.85,37.85,,,,33.35,38.85,33.35,2022-02-04,2022-02-04,0 days,16.492,1.499
187,1727,Bhagya. Prop.,34,37.92,108.78,0,0.88,1860,2.11,57.46,2.39,,33.5,,,39,34,38,,,,33.5,39,33.5,2022-02-04,2022-02-04,0 days,16.418,1.493
188,2000,Rathi Bars,34,17.08,55.52,0,1.05,-7.08,139.53,49.09,5.11,,33.5,,,39,34,38,,,,33.5,39,33.5,2022-02-04,2022-02-04,0 days,16.418,1.493
189,2035,Paramone Concept,34,8.03,51.44,0,0.65,400,19.25,18.97,32.57,,33.5,,,39,34,38,,,,33.5,39,33.5,2022-02-04,2022-02-04,0 days,16.418,1.493
190,2014,K&R Rail Engine.,34,15.88,53.65,0,0.93,-9.71,8.98,-77.49,14.51,,33.5,,,39,34,38,,,,33.5,39,33.5,2022-02-04,2022-02-04,0 days,16.418,1.493
191,1797,Madhav Copper,34.1,29.98,92.53,0,-0.84,-164.93,10.64,-89.78,14.18,,33.6,,,39.1,34.1,38.1,,,,33.6,39.1,33.6,2022-02-04,2022-02-04,0 days,16.369,1.488
192,1821,TTI Enterprise,34.35,111.87,87.25,0,0.13,-58.06,1.87,297.87,0.75,,33.85,,,39.35,34.35,38.35,,,,33.85,39.35,33.85,2022-02-04,2022-02-04,0 days,16.248,1.477
193,966,H T Media,34.4,42.15,800.65,0,44.88,1276.69,466.13,36.8,-1.41,,33.9,,,39.4,34.4,38.4,,,,33.9,39.4,33.9,2022-02-04,2022-02-04,0 days,16.224,1.475
194,1822,India Finsec,34.9,23.92,87.05,0,0.62,-41.51,5.19,17.42,11.7,,34.4,,,39.9,34.9,38.9,,,,34.4,39.9,34.4,2022-02-04,2022-02-04,0 days,15.988,1.453
195,2044,Adeshwar Meditex,35,28.38,50.51,0,,,,,11.22,,34.5,,,40,35,39,,,,34.5,40,34.5,2022-02-04,2022-02-04,0 days,15.942,1.449
196,1143,Oswal Agro Mills,35.45,24.26,475.84,0,6.34,-12.31,0.24,-96.85,1.44,,34.95,,,40.45,35.45,39.45,,,,34.95,40.45,34.95,2022-02-04,2022-02-04,0 days,15.737,1.431
197,1410,Manaksia Coated,35.5,34.78,232.65,0.09,0.72,-68,97.69,-25.83,11.2,,35,,,40.5,35.5,39.5,,,,35,40.5,35,2022-02-04,2022-02-04,0 days,15.714,1.429
198,385,Rail Vikas,35.7,6.74,7443.5,4.45,279.24,48.71,4025.82,26.5,11.31,,35.2,,,40.7,35.7,39.7,,,,35.2,40.7,35.2,2022-02-04,2022-02-04,0 days,15.625,1.42
199,1773,STL Global,35.75,26.52,98.13,0,0.32,455.56,31.71,87.63,3.61,,35.25,,,40.75,35.75,39.75,,,,35.25,40.75,35.25,2022-02-04,2022-02-04,0 days,15.603,1.418
200,1627,Zodiac Vent.,36.15,641.92,134.79,0,0.12,340,2.4,,17.76,,35.65,,,41.15,36.15,40.15,,,,35.65,41.15,35.65,2022-02-04,2022-02-04,0 days,15.428,1.403
201,1168,Marine Electric.,36.15,30.2,443.44,0.57,3.81,-58.27,107.39,65.16,12.12,,35.65,,,41.15,36.15,40.15,,,,35.65,41.15,35.65,2022-02-04,2022-02-04,0 days,15.428,1.403
202,1762,Anik Industries,36.45,7.35,101.16,0,3.75,507.61,62.81,224.1,3.27,,35.95,,,41.45,36.45,40.45,,,,35.95,41.45,35.95,2022-02-04,2022-02-04,0 days,15.299,1.391
203,1956,RDB Realty,36.5,11.31,63.06,0,1.67,32.54,9.46,1.94,1.65,,36,,,41.5,36.5,40.5,,,,36,41.5,36,2022-02-04,2022-02-04,0 days,15.278,1.389
204,1909,Sacheta Metals,36.55,30.66,69.93,0.69,0.94,5.62,18.48,-23.13,8.26,,36.05,,,41.55,36.55,40.55,,,,36.05,41.55,36.05,2022-02-04,2022-02-04,0 days,15.257,1.387
205,857,Udaipur Cement,36.8,18.63,1146,0,5.39,-65.34,207.76,13.44,15.96,,36.3,,,41.8,36.8,40.8,,,,36.3,41.8,36.3,2022-02-04,2022-02-04,0 days,15.152,1.377
206,2008,Anjani Synth.,36.9,15.5,54.42,0,0.9,-7.22,60.41,-7.73,7.58,,36.4,,,41.9,36.9,40.9,,,,36.4,41.9,36.4,2022-02-04,2022-02-04,0 days,15.11,1.374
207,1417,Rajoo Engineers,36.95,20.59,227.36,0,3.29,-0.3,42.43,0.64,19.96,,36.45,,,41.95,36.95,40.95,,,,36.45,41.95,36.45,2022-02-04,2022-02-04,0 days,15.089,1.372
208,1472,Gala Global,37.1,83.7,202.54,0,0.83,7.79,16.06,-47.4,8.73,,36.6,,,42.1,37.1,41.1,,,,36.6,42.1,36.6,2022-02-04,2022-02-04,0 days,15.027,1.366
209,1895,Lykis,37.15,16.74,71.98,0,1.65,332.39,92,761.42,-11.37,,36.65,,,42.15,37.15,41.15,,,,36.65,42.15,36.65,2022-02-04,2022-02-04,0 days,15.007,1.364
210,1388,Birla Precision,37.65,39.44,245.74,0,0.63,-82.93,62.4,35.5,4.98,,37.15,,,42.65,37.65,41.65,,,,37.15,42.65,37.15,2022-02-04,2022-02-04,0 days,14.805,1.346
211,1200,MBL Infrast,37.65,12.03,394.42,0,12.86,-60.8,52.89,13.82,0.42,,37.15,,,42.65,37.65,41.65,,,,37.15,42.65,37.15,2022-02-04,2022-02-04,0 days,14.805,1.346
212,1281,Kothari Sugars,37.7,20.65,312.48,0,2.9,-47.18,91.81,-2.83,9.89,,37.2,,,42.7,37.7,41.7,,,,37.2,42.7,37.2,2022-02-04,2022-02-04,0 days,14.785,1.344
213,1941,Ambica Agarbat.,37.85,17.88,65.05,0,0.53,265.62,28.06,-24.83,4.12,,37.35,,,42.85,37.85,41.85,,,,37.35,42.85,37.35,2022-02-04,2022-02-04,0 days,14.726,1.339
214,1559,Generic Engineer,37.9,11.9,159.7,0.14,2.66,38.54,50.37,67.45,4.73,,37.4,,,42.9,37.9,41.9,,,,37.4,42.9,37.4,2022-02-04,2022-02-04,0 days,14.706,1.337
215,721,JSW Ispat Speci.,38.1,19.58,1788.94,0,-28.24,-195.79,1473.24,26.92,4.34,,37.6,,,43.1,38.1,42.1,,,,37.6,43.1,37.6,2022-02-04,2022-02-04,0 days,14.628,1.33
216,2002,India Home Loans,38.6,25.87,55.12,0.24,1.03,586.67,7.22,-13.43,10.62,,38.1,,,43.6,38.6,42.6,,,,38.1,43.6,38.1,2022-02-04,2022-02-04,0 days,14.436,1.312
217,1868,Bodhtree Consul.,38.6,6.1,77.04,0,1.05,-21.64,21.74,-42.67,11.41,,38.1,,,43.6,38.6,42.6,,,,38.1,43.6,38.1,2022-02-04,2022-02-04,0 days,14.436,1.312
218,1801,Inditrade Cap.,38.85,18.13,90.75,0,1.51,-29.11,44.29,-4.92,11.5,,38.35,,,43.85,38.85,42.85,,,,38.35,43.85,38.35,2022-02-04,2022-02-04,0 days,14.342,1.304
219,1718,Kanishk Steel,38.9,6.69,110.63,0,8.31,151.82,97.08,21.21,11.11,,38.4,,,43.9,38.9,42.9,,,,38.4,43.9,38.4,2022-02-04,2022-02-04,0 days,14.323,1.302
220,1126,Finkurve Fin.,39,126.2,494.75,0,1.54,-37.9,10.49,44.69,6.44,,38.5,,,44,39,43,,,,38.5,44,38.5,2022-02-04,2022-02-04,0 days,14.286,1.299
221,498,Vakrangee,39.35,41.17,4168.79,0.25,29.33,80.83,208.67,180.62,3.12,,38.85,,,44.35,39.35,43.35,,,,38.85,44.35,38.85,2022-02-04,2022-02-04,0 days,14.157,1.287
222,1461,Scan Steels,39.6,4.16,207.3,0,2.22,-66.72,259.83,27.71,13.93,,39.1,,,44.6,39.6,43.6,,,,39.1,44.6,39.1,2022-02-04,2022-02-04,0 days,14.066,1.279
223,1905,Narbada Gems,39.8,27.91,70.34,0,0.5,-43.82,18.62,169.08,9.89,,39.3,,,44.8,39.8,43.8,,,,39.3,44.8,39.3,2022-02-04,2022-02-04,0 days,13.995,1.272
224,1767,Rudra Global,39.8,9,99.85,0,2.1,117.96,91.44,61.3,-4.4,,39.3,,,44.8,39.8,43.8,,,,39.3,44.8,39.3,2022-02-04,2022-02-04,0 days,13.995,1.272
225,1965,California Soft.,39.8,9.91,61.5,0,0.98,600,4,900,-3.78,,39.3,,,44.8,39.8,43.8,,,,39.3,44.8,39.3,2022-02-04,2022-02-04,0 days,13.995,1.272
226,637,Electrost.Cast.,39.95,12.46,2375.46,0.63,45.41,121.85,1165.38,55.32,8.27,,39.45,,,44.95,39.95,43.95,,,,39.45,44.95,39.45,2022-02-04,2022-02-04,0 days,13.942,1.267
227,1288,Ambalal Sarabhai,39.95,4.51,306.13,0,9.53,-10.92,56.49,33.17,18.24,,39.45,,,44.95,39.95,43.95,,,,39.45,44.95,39.45,2022-02-04,2022-02-04,0 days,13.942,1.267
228,1844,Virat Crane Inds,40,12.05,81.69,0,1.66,25.76,27.99,26.59,16.26,,39.5,,,45,40,44,,,,39.5,45,39.5,2022-02-04,2022-02-04,0 days,13.924,1.266
229,1978,Sonal Mercantile,40.25,3.66,59.31,0,4.92,57.69,5.04,7.92,5.27,,39.75,,,45.25,40.25,44.25,,,,39.75,45.25,39.75,2022-02-04,2022-02-04,0 days,13.836,1.258
230,1016,Snowman Logistic,40.35,455.51,674.22,0,0.83,-41.55,73.4,21.97,3.02,,39.85,,,45.35,40.35,44.35,,,,39.85,45.35,39.85,2022-02-04,2022-02-04,0 days,13.802,1.255
231,1848,Navkar Urban.,40.35,47.19,80.23,0,0.99,4850,2.14,167.5,2.91,,39.85,,,45.35,40.35,44.35,,,,39.85,45.35,39.85,2022-02-04,2022-02-04,0 days,13.802,1.255
232,1197,Gokul Refoils,40.95,16.56,405.31,0,7.26,41.25,691.79,9.22,8.55,,40.45,,,45.95,40.95,44.95,,,,40.45,45.95,40.45,2022-02-04,2022-02-04,0 days,13.597,1.236
233,1345,Compuage Info.,41.45,12.08,269.3,0.48,7.55,10.87,1121.24,3.08,11.97,,40.95,,,46.45,41.45,45.45,,,,40.95,46.45,40.95,2022-02-04,2022-02-04,0 days,13.431,1.221
234,356,H U D C O,41.75,4.92,8357.92,5.19,370.45,-18.99,1736.91,-6.46,9.45,,41.25,,,46.75,41.75,45.75,,,,41.25,46.75,41.25,2022-02-04,2022-02-04,0 days,13.333,1.212
235,511,J & K Bank,42.05,6.56,3922.84,0,107.43,184.36,1990.29,-2.67,4.37,,41.55,,,47.05,42.05,46.05,,,,41.55,47.05,41.55,2022-02-04,2022-02-04,0 days,13.237,1.203
236,1199,Pudumjee Paper,42.3,5.83,401.63,0.71,9.4,-8.74,130.7,30.44,18.36,,41.8,,,47.3,42.3,46.3,,,,41.8,47.3,41.8,2022-02-04,2022-02-04,0 days,13.158,1.196
237,1880,GTN Industries,42.4,3.68,74.38,0,-0.78,703.27,114.69,45.51,7.53,,41.9,,,47.4,42.4,46.4,,,,41.9,47.4,41.9,2022-02-04,2022-02-04,0 days,13.126,1.193
238,1429,Raj Television,42.6,86.38,221.17,0,-2.47,31.39,16.99,1.31,3.54,,42.1,,,47.6,42.6,46.6,,,,42.1,47.6,42.1,2022-02-04,2022-02-04,0 days,13.064,1.188
239,1922,Unison Metals,42.8,16,68.57,0,1.23,44.71,26.84,47.15,12.14,,42.3,,,47.8,42.8,46.8,,,,42.3,47.8,42.3,2022-02-04,2022-02-04,0 days,13.002,1.182
240,1081,T R I L,42.9,38.48,568.68,0.23,4.76,43.81,267.12,52.56,9.42,,42.4,,,47.9,42.9,46.9,,,,42.4,47.9,42.4,2022-02-04,2022-02-04,0 days,12.972,1.179
241,431,Infibeam Avenues,42.9,63.6,5714.47,0.12,25.02,44.29,397,74.27,2.94,,42.4,,,47.9,42.9,46.9,,,,42.4,47.9,42.4,2022-02-04,2022-02-04,0 days,12.972,1.179
242,1339,Indian Wood Prod,43.05,199.59,275.41,0.25,-1.74,-181.31,36.88,-2.05,2.16,,42.55,,,48.05,43.05,47.05,,,,42.55,48.05,42.55,2022-02-04,2022-02-04,0 days,12.926,1.175
243,100,Punjab Natl.Bank,43.15,11.26,47512.51,0,1249.87,67.25,19579.41,-5.1,5.21,,42.65,,,48.15,43.15,47.15,,,,42.65,48.15,42.65,2022-02-04,2022-02-04,0 days,12.896,1.172
244,1614,Deep Energy,43.35,374.92,138.72,0,0.01,-93.33,0.62,34.78,0.27,,42.85,,,48.35,43.35,47.35,,,,42.85,48.35,42.85,2022-02-04,2022-02-04,0 days,12.835,1.167
245,1011,Oricon Enterpris,43.45,5.83,682.42,1.14,-13.01,-626.46,106.93,6.35,-0.46,,42.95,,,48.45,43.45,47.45,,,,42.95,48.45,42.95,2022-02-04,2022-02-04,0 days,12.806,1.164
246,1810,Archit Organosys,43.5,11.99,89.28,1.14,1.41,34.29,42.96,62.79,11.63,,43,,,48.5,43.5,47.5,,,,43,48.5,43,2022-02-04,2022-02-04,0 days,12.791,1.163
247,1073,Artemis Medicare,43.75,19.17,579.16,0,6.73,22.59,141.79,15.96,4.12,,43.25,,,48.75,43.75,47.75,,,,43.25,48.75,43.25,2022-02-04,2022-02-04,0 days,12.717,1.156
248,681,Den Networks,43.75,12.78,2087.86,0,45.44,-30.7,294.11,-14.05,1.93,,43.25,,,48.75,43.75,47.75,,,,43.25,48.75,43.25,2022-02-04,2022-02-04,0 days,12.717,1.156
249,1434,Elgi Rubber Co,43.8,261.22,219.43,0,-4.79,-574.26,94.45,2.88,3.98,,43.3,,,48.8,43.8,47.8,,,,43.3,48.8,43.3,2022-02-04,2022-02-04,0 days,12.702,1.155
